bps_kode_provinsi,bps_nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,tahun,bulan,tingkat_inflasi_tahun_ke_tahun,satuan,
11,Aceh,1107,Meulaboh,2015,Agustus,3.43,Persen,
11,Aceh,1107,Meulaboh,2015,September,4.27,Persen,
11,Aceh,1107,Meulaboh,2015,Oktober,2.07,Persen,
11,Aceh,1107,Meulaboh,2015,November,1.27,Persen,
11,Aceh,1107,Meulaboh,2015,Desember,0.58,Persen,
11,Aceh,1171,Banda Aceh,2016,Januari,1.79,Persen,
11,Aceh,1171,Banda Aceh,2016,Februari,2.74,Persen,
11,Aceh,1171,Banda Aceh,2016,Maret,3.1,Persen,
11,Aceh,1171,Banda Aceh,2016,April,1.9,Persen,
11,Aceh,1171,Banda Aceh,2016,Mei,2.12,Persen,
11,Aceh,1171,Banda Aceh,2016,Juni,2.01,Persen,
11,Aceh,1171,Banda Aceh,2016,Juli,2.14,Persen,
11,Aceh,1171,Banda Aceh,2016,Agustus,2,Persen,
11,Aceh,1171,Banda Aceh,2016,September,3.17,Persen,
11,Aceh,1171,Banda Aceh,2016,Oktober,3.04,Persen,
11,Aceh,1171,Banda Aceh,2016,November,2.97,Persen,
11,Aceh,1171,Banda Aceh,2016,Desember,3.13,Persen,
11,Aceh,1174,Lhokseumawe,2016,Januari,2.28,Persen,
11,Aceh,1174,Lhokseumawe,2016,Februari,4.3,Persen,
11,Aceh,1174,Lhokseumawe,2016,Maret,4.63,Persen,
11,Aceh,1174,Lhokseumawe,2016,April,3.41,Persen,
11,Aceh,1174,Lhokseumawe,2016,Mei,3.28,Persen,
11,Aceh,1174,Lhokseumawe,2016,Juni,3.03,Persen,
11,Aceh,1174,Lhokseumawe,2016,Juli,2.87,Persen,
11,Aceh,1174,Lhokseumawe,2016,Agustus,3.54,Persen,
11,Aceh,1174,Lhokseumawe,2016,September,4.79,Persen,
11,Aceh,1174,Lhokseumawe,2016,Oktober,4.65,Persen,
11,Aceh,1174,Lhokseumawe,2016,November,4.63,Persen,
11,Aceh,1174,Lhokseumawe,2016,Desember,5.6,Persen,
11,Aceh,1107,Meulaboh,2016,Januari,1.17,Persen,
11,Aceh,1107,Meulaboh,2016,Februari,2.54,Persen,
11,Aceh,1107,Meulaboh,2016,Maret,3.12,Persen,
11,Aceh,1107,Meulaboh,2016,April,2.89,Persen,
11,Aceh,1107,Meulaboh,2016,Mei,2.61,Persen,
11,Aceh,1107,Meulaboh,2016,Juni,2.19,Persen,
11,Aceh,1107,Meulaboh,2016,Juli,1.75,Persen,
11,Aceh,1107,Meulaboh,2016,Agustus,2.93,Persen,
11,Aceh,1107,Meulaboh,2016,September,3.81,Persen,
11,Aceh,1107,Meulaboh,2016,Oktober,4.09,Persen,
11,Aceh,1107,Meulaboh,2016,November,3.95,Persen,
11,Aceh,1107,Meulaboh,2016,Desember,3.77,Persen,
11,Aceh,1171,Banda Aceh,2017,Januari,2.79,Persen,
11,Aceh,1171,Banda Aceh,2017,Februari,2.97,Persen,
